종목코드,종목명,현재가,대비,등락률,거래량,가격(원),일자,종료일 종가
331380,유진스팩5호,"2,050","0","0","6,682","1,950","2020/10/07","2,050"
333050,신한제6호스팩,"2,065","-15","-0.72","14,836","1,945","2020/10/07","2,080"
355150,교보10호스팩,"2,090","15","0.72","7,092","1,990","2020/10/07","2,075"
065560,녹원씨엔아이,"5,230","-120","-2.24","64,607","4,935","2020/09/25","5,350"
298540,더네이쳐홀딩스,"41,150","-950","-2.26","86,918","34,550","2020/09/25","42,100"
317240,하이제4호스팩,"2,360","-20","-0.84","109,343","1,990","2020/09/25","2,380"
078930,GS,"37,900","-200","-0.52","262,892","30,300","2020/09/24","38,100"
053080,원방테크,"48,500","-150","-0.31","52,132","40,000","2020/09/24","48,650"
169330,마크로밀엠브레인,"7,930","-120","-1.49","38,687","7,010","2020/09/24","8,050"
294090,이오플로우,"75,900","-5,300","-6.53","675,001","17,500","2020/09/23","81,200"
299170,IBKS제10호스팩,"2,850","140","5.17","156,410","1,975","2020/09/23","2,710"
182690,테라셈,"2,990","-50","-1.64","2,603,808","1,040","2020/09/22","3,040"
309930,삼성머스트스팩3호,"2,355","20","0.86","138,320","2,000","2020/09/22","2,335"
335890,IBKS제11호스팩,"2,370","-20","-0.84","338,740","2,105","2020/09/11","2,390"
357780,솔브레인,"286,100","-13,900","-4.63","134,215","201,100","2020/09/11","300,000"
344860,이노진,"1,175","0","0","0","1,010","2020/09/11","1,175"
224810,엄지하우스,"4,395","95","2.21","3,051","2,805","2020/09/09","4,300"
238170,엔에스엠,"910","1","0.11","73,460","750","2020/09/04","909"
343510,하나금융16호스팩,"2,080","0","0","46,054","2,010","2020/09/02","2,080"
031430,신세계인터내셔날,"183,500","-2,000","-1.08","60,899","134,000","2020/09/01","185,500"
353070,에이치엠씨제4호스팩,"2,070","10","0.49","5,628","1,975","2020/09/01","2,060"
357120,코람코에너지리츠,"4,780","5","0.1","98,622","4,640","2020/08/31","4,775"
340360,유안타제6호스팩,"1,995","0","0","0","1,965","2020/08/28","1,995"
353490,미래에셋대우스팩 5호,"2,125","-15","-0.7","835","1,995","2020/08/28","2,140"
046070,코다코,"1,275","0","0","194,291","969","2020/08/27","1,275"
101680,한국정밀기계,"1,590","0","0","30,667","1,275","2020/08/27","1,590"
322970,무진메디,"6,660","-140","-2.06","2,259","4,800","2020/08/27","6,800"
019590,엠벤처투자,"1,065","-10","-0.93","359,432","765","2020/08/24","1,075"
032300,한국파마,"58,900","-1,800","-2.97","1,377,397","13,100","2020/08/24","60,700"
058530,슈펙스비앤피,"162","0","0","0","106","2020/08/24","162"
347890,엠투아이,"18,700","-200","-1.06","94,881","12,950","2020/08/24","18,900"
025560,미래산업,"3,315","-65","-1.92","329,182","2,715","2020/08/21","3,380"
031860,엔에스엔,"1,165","-85","-6.8","2,917,490","872","2020/08/21","1,250"
208370,셀바스헬스케어,"2,645","80","3.12","396,112","1,710","2020/08/21","2,565"
950180,SNK,"24,750","-1,650","-6.25","412,371","11,750","2020/08/21","26,400"
033050,제이엠아이,"1,215","50","4.29","1,008,543","922","2020/08/20","1,165"
060850,영림원소프트랩,"15,400","50","0.33","122,670","12,050","2020/08/20","15,350"
108860,셀바스AI,"2,825","25","0.89","216,494","2,305","2020/08/20","2,800"
261200,덴티스,"1,675","-15","-0.89","1,095,846","1,635","2020/08/20","1,690"
349720,이베스트스팩5호,"2,045","0","0","251","1,935","2020/08/19","2,045"
230980,솔트웍스,"4,880","370","8.2","214,531","2,875","2020/08/14","4,510"
224060,코디엠,"443","2","0.45","20,379,017","201","2020/08/11","441"
342550,케이비제20호스팩,"2,030","-15","-0.73","1,922","1,940","2020/08/10","2,045"
348950,제이알글로벌리츠,"5,120","-20","-0.39","110,126","4,600","2020/08/07","5,140"
350520,이지스레지던스리츠,"4,845","-5","-0.1","19,379","4,060","2020/08/05","4,850"
357250,미래에셋맵스리츠,"4,720","5","0.11","27,917","4,300","2020/08/05","4,715"
068930,디지털대성,"7,730","-10","-0.13","32,726","5,970","2020/08/03","7,740"
007700,F&F,"100,500","-1,000","-0.99","64,413","79,900","2020/07/31","101,500"
222810,한류AI센터,"641","-12","-1.84","3,627,933","345","2020/07/30","653"
308700,테크엔,"1,500","0","0","1","902","2020/07/30","1,500"
078940,코드네이처,"1,765","-35","-1.94","52,412","1,135","2020/07/29","1,800"
266470,바이오인프라생명과학,"3,340","55","1.67","41,317","1,810","2020/07/29","3,285"
304100,솔트룩스,"35,000","-850","-2.37","50,482","28,000","2020/07/28","35,850"
023440,제일제강,"2,950","110","3.87","790,236","1,640","2020/07/27","2,840"
070300,엑스큐어,"4,810","0","0","0","4,400","2020/07/27","4,810"
224880,SGA임베디드,"2,960","0","0","0","2,645","2020/07/27","2,960"
